Масло,Зона,ПЭ,С,Группа,Сочетания,Единичное масло в Зоне,Ключ
Мята,-,Нежелание осознавать проблемы. См. сочетание [1],"Хронические сосудистые нарушения. См. сочетания [5], [6].",Пряная,[1] Проверяем комбинацию ЛГР. [5] Литцея Кубеба и Мята и Эвкалипт: последствия травмы/нарушение работы ЦНС. [6] В сочетании с Иланг-илангом в: нарушение работы ССС,Нежелание встраиваться в осознание проблем.,Мята|-
Мята,---,"Протест, отрицание происходящего. См. сочетание [1].",Мб нарушение мозгового кровообращения. См. сочетание [5].,Пряная,[1] Проверяем комбинацию ЛГР. [5] Литцея Кубеба и Мята и Эвкалипт: последствия травмы/нарушение работы ЦНС.,Нежелание встраиваться в осознание проблем.,Мята|---
Мята,0,"Протест, отрицание просходящего. См. сочетание [1].",,Пряная,[1] Проверяем комбинацию ЛГР. ,,Мята|0
Мята,R,Нежелание встраиваться в осознание проблем.,,Пряная,,,Мята|R
Чабрец,+++,"Желание поднять самооценку. См. сочетания [1], [2].",Мб ОРВИ: см. сочетание [5].,Пряная,"[1] Опираемся на выводы по Цитрусовой группе. [2] В сочетании с Анисом и Чабрецом: зависимость/склонность к зависимости, часто у курильщиков. [5] В сочетании с Анисом/Фенхелем: ОРВИ.",Низкая самооценка,Чабрец|+++
Чабрец,+,Незначительные переживания. См. сочетание [1],Остаточные явления после ОРВИ или бактериальной инфекции.,Пряная,[1] Опираемся на выводы по Цитрусовой группе.,Низкая самооценка,Чабрец|+
Чабрец,N,Умение и желание ценить себя!,Норма функция.,Пряная,,Низкая самооценка,Чабрец|N
Чабрец,-,Низкая самооценка.,"Хронический грибковый процесс. См. сочетания [3], [4], [5].",Пряная,[3] В сочетании с Фенхелем: локализация в кишечнике. [4] В сочетании с Литцеей в (+++): может быть в НС. [5] В сочетании с Анисом/Фенхелем: ОРВИ.,Низкая самооценка,Чабрец|-
Чабрец,---,"Болезненное переживание, сниженная самооценка.",МБ ОРВИ: см. сочетание [5].,Пряная,[5] В сочетании с Анисом/Фенхелем: ОРВИ.,Низкая самооценка,Чабрец|---
Чабрец,0,"Болезненное переживание, сниженная самооценка.",,Пряная,,,Чабрец|0
Чабрец,R,,МБ ОРВИ: см. сочетание [5].,Пряная, [5] В сочетании с Анисом/Фенхелем: ОРВИ.,,Чабрец|R
Фенхель,+++,"Ярко выраженная потребность в тепле и поддержке. См. сочетания [1], [2], [3].","Брожение в кишечнике. ПМС. См. сочетания [4], [5]",Пряная,"[1] В сочетании с Анисом в (+++/+): подавленная тревожность. [2] Важно! В +++ на каком месте стоит. 1 или 2 место: яркий запрос. На 3-ем месте: глубинные переживания из детства. Ищем причину в других комбинациях. [3] В сочетании с Анисом и Елью/Пихтой/Можжевеловыми ягодами: человека преследуют навязчивые страхи. [4] Необходимо учитывать день цикла и ГВ, в первые дни цикла и ГВ это норма. [5] В сочетании с Чабрецом: ОРВИ.",Запрос на поддержку и заботу.,Фенхель|+++
Фенхель,+,Хочется тепла и уюта.,МБ брожение в кишечнике. См. сочетание [4].,Пряная,"[4] Необходимо учитывать день цикла и ГВ, в первые дни цикла и ГВ это норма. [5] В сочетании с Чабрецом: ОРВИ.",Запрос на поддержку и заботу.,Фенхель|+
Фенхель,N,Стабильные эмоции,Норма функция.,Пряная,,Запрос на поддержку и заботу.,Фенхель|N
Фенхель,-,Подавленные эмоции.,Высокий уровень слизи. Протекающий кишечник. Гормональная разбалансировка. См. сочетание [4].,Пряная,"[4] Необходимо учитывать день цикла и ГВ, в первые дни цикла и ГВ это норма. [5] В сочетании с Чабрецом: ОРВИ.",Запрос на поддержку и заботу.,Фенхель|-
Фенхель,---,Ярко выраженная потребность в тепле и поддержке.,Высокий уровень слизи. См. сочетание [4].,Пряная,"[4] Необходимо учитывать день цикла и ГВ, в первые дни цикла и ГВ это норма.",Запрос на поддержку и заботу.,Фенхель|---
Фенхель,0,Подавленные эмоции.,,Пряная,,,Фенхель|0
Фенхель,R,Эмоциональная нестабильность,,Пряная,,,Фенхель|R
Лаванда,+++,"Осознанность по ЛГР: см. сочетание [1] Эмоциональное перенапряжение. Яркая потребность в принятии ""женской роли"". См. сочетания [3], [4].",Нарушение сна. Мб склонность к повышению АД,Цветочная,"[1] Смотрим комбинацию ЛГР. [3] В сочетании с Мятой, Кипарисом и Иланг-илангом в (+/+++): склонность к повышенному АД. [4] В сочетании с Мятой, Кипарисом рядом в (+/+++): мб нарушение ритма, нарушение ССС.",Осознанность! Но все зависит от знака ( +/-),Лаванда|+++
Лаванда,+,"Осознанность. См. сочетания [3], [4]",Нарушение сна.,Цветочная," [3] В сочетании с Мятой, Кипарисом и Иланг-илангом в (+/+++): склонность к повышенному АД. [4] В сочетании с Мятой, Кипарисом рядом в (+/+++): мб нарушение ритма, нарушение ССС.",Осознанность! Но все зависит от знака ( +/-),Лаванда|+
Лаванда,N,Состояние ресурсное. Можно выводить в активные осознанные процессы.,Норма функция.,Цветочная,,Осознанность! Но все зависит от знака ( +/-),Лаванда|N
Лаванда,-,"Нежелание, неспособность брать ответственность. См. сочетание [1]",Перенапряжение. Склонность к повышению АД.,Цветочная,[1] Смотрим комбинацию ЛГР.,Осознанность! Но все зависит от знака ( +/-),Лаванда|-
Лаванда,---,Напряженное состояние. Принятие ответственности через напряжение. См. сочетание [1].,Нарушение сна.,Цветочная,[1] Смотрим комбинацию ЛГР.,Осознанность! Но все зависит от знака ( +/-),Лаванда|---
Лаванда,0,Заблокированная осознанность. Нежелание брать ответственность. См. сочетание [1].,,Цветочная,[1] Смотрим комбинацию ЛГР.,Осознанность! Но все зависит от знака ( +/-),Лаванда|0
Лаванда,R,Страх войти в осознание происходящего.,,Цветочная,"[1] Смотрим комбинацию ЛГР. [2] Смотрим комбинацию с Ванилью (мама): принятие “женской роли”. Есть конфликт или нет, все зависит от знака (+/-). Лаванда и Ваниль в (+/+++): потребность стабилизировать отношения с матерью. Ваниль в (+++/+), Лаванда в (---/-): непринятие своей женской роли (для Ж), нежелание вовлекаться в женские задачи (для М). [3] В сочетании с Мятой, Кипарисом и Иланг-илангом в (+/+++): склонность к повышенному АД. [4] В сочетании с Мятой, Кипарисом рядом в (+/+++): мб нарушение ритма, нарушение ССС.",,Лаванда|R
Герань,+++,Женский аромат. Готовность к изменениям: см. сочетание [1]. Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М.).,Изменение в работе эндокринной системы (возможно осознанные). См. сочетание [2].,Цветочная,[1] Смотрим комбинацию (ЛГР). [2] В сочетание с Грейпфрутом в +++/---: нарушение работы щитовидной железы.,"Женский аромат. Готовность изменениям, см. ЛГР Перемены, . Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М). См. сочетания [1], [2].",Герань|+++
Герань,+,Настройка на изменения.,Изменение в работе эндокринной системы (возможно осознанные). См. сочетание [2].,Цветочная, [2] В сочетание с Грейпфрутом в +++/---: нарушение работы щитовидной железы.,"Женский аромат. Готовность изменениям, см. ЛГР Перемены, . Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М). См. сочетания [1], [2].",Герань|+
Герань,N,"Принятие, настройка, удовлетворение происходящим.",Норма функция.,Цветочная,,"Женский аромат. Готовность изменениям, см. ЛГР Перемены, . Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М). См. сочетания [1], [2].",Герань|N
Герань,-,Нежелание изменений.,Хр. Эндокринные нарушения. Мб на фоне приема некорректно подобранных гормональных препаратов.,Цветочная,,"Женский аромат. Готовность изменениям, см. ЛГР Перемены, . Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М). См. сочетания [1], [2].",Герань|-
Герань,---,"Напряженное состояние на изменения, см. сочетание [1]. Перемены с преодолением внутреннего сопротивления. Напряженное желание яркости (у Ж). Интерес к яркому типажу женщин (у М) — через внутренний страх несоответствия.",,Цветочная,,"Женский аромат. Готовность изменениям, см. ЛГР Перемены, . Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М). См. сочетания [1], [2].",Герань|---
Герань,0,Страх перед переменами. Нежелание изменений.,,Цветочная,,"Женский аромат. Готовность изменениям, см. ЛГР Перемены, . Желание быть эффектной (у Ж). Интерес к яркому типажу женщин (у М). См. сочетания [1], [2].",Герань|0
Герань,R,Страх перед переменами. Нежелание изменений.,,Цветочная,,,Герань|R
Пальмароза,+++,"Женский аромат. Истерия, навязанная внешними факторами. Если аромат на 1 или 2 месте, то есть потребность в синхронизации. Если на 3-ем: см. сочетание [1].",Возможно ПМС: см. сочетание [2],Цветочная,[1] Насколько процесс осмыслен можно посмотреть по ЛГР.,Истерия навязанная внешними факторами. Ищем причину в сочетаниях,Пальмароза|+++
Пальмароза,+,Эмоциональная перегрузка.,Нарушение адаптации: см. сочетание [3],Цветочная,[3] В ключе +++ будет Литцея Кубеба и/или Грейпфрут.,Истерия навязанная внешними факторами. Ищем причину в сочетаниях,Пальмароза|+
Пальмароза,N,Синхронизация с пространством. Гармоничное состояние.,Норма функция.,Цветочная,,Истерия навязанная внешними факторами. Ищем причину в сочетаниях,Пальмароза|N
Пальмароза,-,Нежелание решать конфилкт с женщиной или женским коллективом,Застойные процессы в кишечнике.,Цветочная,,Истерия навязанная внешними факторами. Ищем причину в сочетаниях,Пальмароза|-
Пальмароза,---,"Истерия навязанная внешними факторами. ""Бабы достали"".",Нарушение работы ЖКТ. Возможно ПМС,Цветочная,,Истерия навязанная внешними факторами. Ищем причину в сочетаниях,Пальмароза|---
Пальмароза,0,Заблокированная истерия. Конфликт с женщиной.,,Цветочная,,Истерия навязанная внешними факторами. Ищем причину в сочетаниях,Пальмароза|0
Пальмароза,R,Истерия навязанная внешними факторами. Ищем причину в сочетаниях.,,Цветочная,,,Пальмароза|R
Ваниль,+++,Женский аромат. Потребность в поддержке мамы: см. сочетание [1]. Значимость маминой фигуры.,"Углеводная зависимость, склонность к повышению сахара: см. сочетания [3], [4], [5]. Пигментация кожи.",Цветочная,"[1] См. комбинацию с Лавандой (если в +/+++): принятие. Если Лаванда (-), то конфликт. [3] В сочетании с Грейпфрутом/Апельсином: нарушение пищевого поведения. [4] В сочетании с Геранью в (-): ситуация может быть усилена и другими Ж маслами или др М маслами. [5] Эвкалипт в +++/+/---: склонность к повышению сахара.",Женский аромат. Потребность в поддержке мамы. См. с [1]. Значимость маминой фигуры.,Ваниль|+++
Ваниль,+,Не ярко выраженная потребность в поддержке.,"Углеводная зависимость, склонность к повышению сахара: см. сочетания [3], [4], [5]. Пигментация кожи.",Цветочная, [3] В сочетании с Грейпфрутом/Апельсином: нарушение пищевого поведения. [4] В сочетании с Геранью в (-): ситуация может быть усилена и другими Ж маслами или др М маслами. [5] Эвкалипт в +++/+/---: склонность к повышению сахара.,Женский аромат. Потребность в поддержке мамы. См. с [1]. Значимость маминой фигуры.,Ваниль|+
Ваниль,N,Эмоциональная зрелость. Усиливается Лавандой в N или в +.,Нет углеводной зависимости.,Цветочная,,Женский аромат. Потребность в поддержке мамы. См. с [1]. Значимость маминой фигуры.,Ваниль|N
Ваниль,-,Глубокий эмоциональный конфликт или переживания: см. сочетание [2].,Гормональная разбалансировка: см. сочетание [4].,Цветочная,"[2] Если Лаванда (+/+++), то попытка осознать происходящее. Если (-), то высокое напряжение. Необходимо оценить, где стоит Анис и Мандарин.[4] В сочетании с Геранью в (-): ситуация может быть усилена и другими Ж маслами или др М маслами.",Женский аромат. Потребность в поддержке мамы. См. с [1]. Значимость маминой фигуры.,Ваниль|-
Ваниль,---,Женский аромат. Потребность в поддержке мамы. См. сочетание 1. Значимость маминой фигуры.,"Углеводная зависимость, склонность к повышению сахара: см. сочетания [3], [4], [5]. Пигментация кожи.",Цветочная,"[1] См. комбинацию с Лавандой (если в +/+++): принятие. Если Лаванда (-), то конфликт. [3] В сочетании с Грейпфрутом/Апельсином: нарушение пищевого поведения. [4] В сочетании с Геранью в (-): ситуация может быть усилена и другими Ж маслами или др М маслами. [5] Эвкалипт в +++/+/---: склонность к повышению сахара.",Женский аромат. Потребность в поддержке мамы. См. с [1]. Значимость маминой фигуры.,Ваниль|---
Ваниль,0,,Глубокий конфликт или переживания: см. сочетание [2].,Цветочная,"[2] Если Лаванда (+/+++), то попытка осознать происходящее. Если (-), то высокое напряжение. Необходимо оценить, где стоит Анис и Мандарин.",Женский аромат. Потребность в поддержке мамы. См. с [1]. Значимость маминой фигуры.,Ваниль|0
Ваниль,R,,Трудности построения межличностных отношений.,Цветочная,,,Ваниль|R
Иланг-иланг,+++,"Тотальное перенапряжение, потребность в снятии контроля.","На 1,2 месте высокая вероятность грибковых заражений, на 3-ем месте - склонность к повышению АД. См. сочетания [2], [3], [4].",Цветочная," [2] В сочетании с Чабрецом в -: высокий грибковый фон. [3] Лаванда, Мята, Кипарис рядом в + или +++: может быть нарушение ССС, сердечного ритма, сосудистая патология. [4] В сочетании с Кипарисом в +++: нарушение сердечного ритма.","Тотальное перенапряжение, потребность в снятии контроля.",Иланг-иланг|+++
Иланг-иланг,+,Потребность в тактильном контакте: см. сочетание [1].,"МБ грибковое поражение кожи, себорея.",Цветочная,[1] Делаем выводы исходя из комбинаций в группе +++/---. С акцентом на мужскую и Цветочную группы.,"Тотальное перенапряжение, потребность в снятии контроля.",Иланг-иланг|+
Иланг-иланг,N,"Принятие себя, своей сексуальности. Уверенность, при Чабреце в N.",Норма функция.,Цветочная,,"Тотальное перенапряжение, потребность в снятии контроля.",Иланг-иланг|N
Иланг-иланг,-,Эмоциональная перегрузка.,МБ хр нарушения ССС. Высокий уровень грибковой нагрузки.,Цветочная,,"Тотальное перенапряжение, потребность в снятии контроля.",Иланг-иланг|-
Иланг-иланг,---,"Перенапряжение, страхи.",Возможно нарушение ритма. Головные боли. См. сочетание [3].,Цветочная,"[3] Лаванда, Мята, Кипарис рядом в + или +++: может быть нарушение ССС, сердечного ритма, сосудистая патология","Тотальное перенапряжение, потребность в снятии контроля.",Иланг-иланг|---
Иланг-иланг,0,Тотальное перенапряжение. Заблокированная сексуальность,,Цветочная,,"Тотальное перенапряжение, потребность в снятии контроля.",Иланг-иланг|0
Иланг-иланг,R,"Перенапряжение, паника.",,Цветочная,,,Иланг-иланг|R
Бензоин,+++,"Эмоциональная потребность в поддержке отца, поддержке. См. сочетания [1], [2].","Сухая кожа. Бронхолегочные нарушения. См. сочетания [3], [4]",Цветочная,"[1] Анис стоит в +/+++: осознанная обида на отца. Если Анис в 0 или в в -: непрожитые, заблокированные переживания. Сложно выстраивать взаимоотношения с др людьми. [2] Ладан и/или Бензоин, Кипарис: непрожитая потеря близкого человека. [3] В комбинации с Анисом, Эвкалиптом и Апельсин: нарушение ДС. [4] В сочетании с Мандарином/Бергамотом: сухая кожа.",Потребность в поддержке отца. Значимость отцовской фигуры.,Бензоин|+++
Бензоин,+,"Внимание к отцу. См. сочетания [1], [2]",Сухая кожа.,Цветочная,"[1] Анис стоит в +/+++: осознанная обида на отца. Если Анис в 0 или в -: непрожитые, заблокированные переживания. Сложно выстраивать взаимоотношения с др людьми. [2] Ладан и/или Бензоин, Кипарис: непрожитая потеря близкого человека. ",Потребность в поддержке отца. Значимость отцовской фигуры.,Бензоин|+
Бензоин,N,Эмоциональная зрелость. Усиливается Лавандой в N или +.,,Цветочная,,Потребность в поддержке отца. Значимость отцовской фигуры.,Бензоин|N
Бензоин,-,Сложно выстраивать отношения с окружением.,Хр. застойные процессы в легких.,Цветочная,,Потребность в поддержке отца. Значимость отцовской фигуры.,Бензоин|-
Бензоин,---,Трудность построения социальных отношений.,"Сухая кожа. Бронхолегочные нарушения. См. сочетания [3], [4].",Цветочная,"[3] В комбинации с Анисом, Эвкалиптом и Апельсин: нарушение ДС. [4] В сочетании с Мандарином/Бергамотом: сухая кожа.",Потребность в поддержке отца. Значимость отцовской фигуры.,Бензоин|---
Бензоин,0,Эмоционально непрожитый конфликт с отцом. См. сочетание [2].,,Цветочная,"[2] Ладан и/или Бензоин, Кипарис: непрожитая потеря близкого человека.",Потребность в поддержке отца. Значимость отцовской фигуры.,Бензоин|0
Бензоин,R,Трудность построения социальных отношений.,,Цветочная,,,Бензоин|R
Эвкалипт,+++,"Потребность, поиск новой информации, новых решений.","Обезвоженность. Мб высокий уровень сахара. Возможно ОРВИ. См. сочетания [1], [2], [3], [4]",Пряная,"[1] В сочетании с Чабрецом +++/+: ОРВИ. [2] В сочетании с Анисом, Бензоином и цитрусовыми в (+++/+, - , О): нарушение ДС. [3] В сочетании с Можжевеловыми ягодами в +++/+: нарушение функции почек. [4] Ваниль в +++/+/---: склонность к повышению сахара.","Есть новая информация, что с ней делать - непонятно!",Эвкалипт|+++
Эвкалипт,+,Поиск новой информации.,Мб ОРВИ. См. сочетание [4].,Пряная,[4] Ваниль в +++/+/---: склонность к повышению сахара.,"Есть новая информация, что с ней делать - непонятно!",Эвкалипт|+
Эвкалипт,N,Поиск новой информации и решений - обычное состояние. Норма жизни.,Норма функция.,Пряная,,"Есть новая информация, что с ней делать - непонятно!",Эвкалипт|N
Эвкалипт,-,Нет интереса к получению новой информации. Отказ от обучения.,"Хр. нарушения ДС. См. сочетания [5], [6].",Пряная,[5] В сочетании с Анисом в ---/-: нарушение ДС. [6] В сочетании с Литцей и Мятой: последствия травмы ЦНС.,"Есть новая информация, что с ней делать - непонятно!",Эвкалипт|-
Эвкалипт,---,"Напряженный поиск новой информации, новых решений.","Обезвоженность. Мб высокий уровень сахара. Возможно ОРВИ. См. сочетания [1], [2], [3], [4], [6] .",Пряная,"[1] В сочетании с Чабрецом +++/+: ОРВИ. [2] В сочетании с Анисом, Бензоином и цитрусовыми в (+++/+, - , О): нарушение ДС. [3] В сочетании с Можжеволовыми ягодами в +++/+: нарушение функции почек. [4] Ваниль в +++/+/---: склонность к повышению сахара. [6] В сочетании с Литцей и Мятой: последствия травмы ЦНС.","Есть новая информация, что с ней делать - непонятно!",Эвкалипт|---
Эвкалипт,0,"Нет интереса к получению новой информации, нового опыта.",,Пряная,,,Эвкалипт|0
Эвкалипт,R,"Нет интереса к получению новой информации, нового опыта.",,Пряная,,,Эвкалипт|R
Берёза,+++,Обычно выбирают руководители. Аромат Лидеров.,"Острый паразитарный процесс: см. сочетания [1], [2].",Древесно-травяная,[1] В сочетании с Полынью в +++/+: может быть острый паразитарный процесс на коже. [2] В сочетании с Гвоздикой: может быть острый паразитарный процесс в ЖКТ.,Потребность в эмоциональной разрядке,Берёза|+++
Берёза,+,"Возможно было эмоциональное состояние (событие), выплеснутые эмоцие.",Кожный паразитарный процесс: см. сочетание [1].,Древесно-травяная,[1] В сочетании с Полынью в +++/+: может быть острый паразитарный процесс на коже.,Потребность в эмоциональной разрядке,Берёза|+
Берёза,N,Умение управлять эмоциями. Внутренняя уверенность. *если это не единичное масло.,Норма функция.,Древесно-травяная,,Потребность в эмоциональной разрядке,Берёза|N
Берёза,-,Заблокированные эмоции.,Хр. паразитарный процесс. Мб описторхоз.,Древесно-травяная,,Потребность в эмоциональной разрядке,Берёза|-
Берёза,---,Заблокированные эмоции.,"Острый паразитарный процесс: см. сочетания [1], [2].",Древесно-травяная,[1] В сочетании с Полынью в +++/+: может быть острый паразитарный процесс на коже. [2] В сочетании с Гвоздикой: может быть острый паразитарный процесс в ЖКТ.,Потребность в эмоциональной разрядке,Берёза|---
Берёза,0,Страх на выражение эмоций.,,Древесно-травяная,,Потребность в эмоциональной разрядке,Берёза|0
Берёза,R,Бурные эмоции и одновременно страх их выражать. Посмотреть где Ель и Пихта.,,Древесно-травяная,,,Берёза|R
Каяпут,+++,"Желание спрятаться: см. сочетание [1]. *ЕД: Яркое желание спрятаться. Привычка -""все сама, всё на себе"". Неумение попросить помощи См. [1], [2] .","Острая боль. Дорсопатия: см. сочетания [3], [4], [5].",Пряная,"[3] В сочетании с Анисом и/или Эвкалиптом в (+/ +++): нарушения ОДС, скорее всего грудной отдел. [4] В сочетании с Литцей и/или Мятой в (+ и/или+++): нарушения ОДС, скорее всего шейный отдел. [5] В сочетании с Фенхелем, Грейпфрутом, Лимоном в (+ и/или +++): нарушения ОДС, скорее всего поясничный отдел.","Яркое желание спрятаться. Привычка - все сама, всё на себе . Неумение попросить помощи См. [1], [2].",Каяпут|+++
Каяпут,+,"Яркое желание спрятаться. Привычка - ""все сама, всё на себе"". Неумение попросить помощи: см. сочетания [1], [2].","Напряжение в теле: см. сочетания [3], [4], [5].",Пряная,"[3] В сочетании с Анисом и/или Эвкалиптом в (+/ +++): нарушения ОДС, скорее всего грудной отдел. [4] В сочетании с Литцей и/или Мятой в (+ и/или+++): нарушения ОДС, скорее всего шейный отдел. [5] В сочетании с Фенхелем, Грейпфрутом, Лимоном в (+ и/или +++): нарушения ОДС, скорее всего поясничный отдел. ","Яркое желание спрятаться. Привычка - все сама, всё на себе . Неумение попросить помощи См. [1], [2].",Каяпут|+
Каяпут,N,"Яркое желание спрятаться. Привычка - ""все сама, всё на себе"". Неумение попросить помощи: см. сочетания [1], [2].",В данном периоде жизни напряжения нет,Пряная,"[1] Смотрим в какой позиции хвойная группа. [2] Обратить внимание, где стоят цитрусовая группа, возможно эта паттерн из детства. ","Яркое желание спрятаться. Привычка - все сама, всё на себе . Неумение попросить помощи См. [1], [2].",Каяпут|N
Каяпут,-,Неумение просить помощи.,Хронические напряжения. Дорсопатия. Суставные боли: см. сочетание [6].,Пряная,[6] В сочетании с Елью/Пихтой: возможны суставные боли.,"Яркое желание спрятаться. Привычка - все сама, всё на себе . Неумение попросить помощи См. [1], [2].",Каяпут|-
Каяпут,---,Напряжение. Нужна помощь.,"Острая боль. Дорсопатия: см. сочетания [3], [4], [5]",Пряная,"[3] В сочетании с Анисом и/или Эвкалиптом в (+/ +++): нарушения ОДС, скорее всего грудной отдел. [4] В сочетании с Литцей и/или Мятой в (+ и/или+++): нарушения ОДС, скорее всего шейный отдел. [5] В сочетании с Фенхелем, Грейпфрутом, Лимоном в (+ и/или +++): нарушения ОДС, скорее всего поясничный отдел. ","Яркое желание спрятаться. Привычка - все сама, всё на себе . Неумение попросить помощи См. [1], [2].",Каяпут|---
Каяпут,0,В данном периоде жизни напряжения нет.,,Пряная,,"Яркое желание спрятаться. Привычка - все сама, всё на себе . Неумение попросить помощи См. [1], [2].",Каяпут|0
Каяпут,R,Неумение просить помощи.,,Пряная,,,Каяпут|R
Розмарин,+++,Активные действия (нужно срочно что-то сделать: горы свернуть!).,"Гипотония. Недостаток норэпинефрина. См. сочетания [1], [2], [3], [4].",Пряная,"[1] В сочетании с Можжеволовыми ягодами в +++/+: острый воспалительный процесс МПС. [2] В сочетании с Можжеволовыми ягодами: хр процессы в МПС. [3] В сочетании с Мятой в +++/+: ВСД. [4] Недостаток норэпинефрина при недостаточной (бедной) микрофлоре. Смотрим по Фенхелю, Анису, Ветиверу.",Гиперактивные действия (Прыжок с парашютом). ВАЖНО понять настрой и готовность (ЛГР).,Розмарин|+++
Розмарин,+,Настрой на действие (активность),Склонность к гипотонии.,Пряная,,Гиперактивные действия (Прыжок с парашютом). ВАЖНО понять настрой и готовность (ЛГР).,Розмарин|+
Розмарин,N,Активность в состоянии готовности (можно высвобождать по необходимости). Состояние энергетического ресурса.,Норма функция.,Пряная,,Гиперактивные действия (Прыжок с парашютом). ВАЖНО понять настрой и готовность (ЛГР).,Розмарин|N
Розмарин,-,Отказ от активных действий или принятия решения (нежелание действовать). См. ЛГР.,Мб хр. гипотония. Хр. Нарушение МПС: см. сочетание [2].,Пряная,[2] В сочетании с Можжеволовыми ягодами: хр процессыв МПС.,Гиперактивные действия (Прыжок с парашютом). ВАЖНО понять настрой и готовность (ЛГР).,Розмарин|-
Розмарин,---,"Потребность (желание) активных действий, но есть напряжение (препятствие, чаще ментальное).",,Пряная,,Гиперактивные действия (Прыжок с парашютом). ВАЖНО понять настрой и готовность (ЛГР).,Розмарин|---
Розмарин,0,Гиперактивные действия (прыжок с парашютом). Важно понять настрой и готовность (ЛГР).,,Пряная,,Гиперактивные действия (Прыжок с парашютом). ВАЖНО понять настрой и готовность (ЛГР).,Розмарин|0
Розмарин,R,Страх принятия решения,,Пряная,,,Розмарин|R
Ветивер,+++,"Подребность в дружеской поддержке, нехватка почвы под ногами.","Дисбактериоз. Эндокринные нарушения. См. сочетания [1], [2].",Цветочная,"[1] Анис, Фенхель, Герань разбросаны по разным категориям: нарушения ЭС. [2] Анис, Фенхель вместе, в одной зоне: Дисбактериоз.","Потребность в дружеской поддержке, нехватка почвы под ногами.",Ветивер|+++
Ветивер,+,"Важность дружеского окружения, поддержки.",Дисбактериоз.,Цветочная,,"Потребность в дружеской поддержке, нехватка почвы под ногами.",Ветивер|+
Ветивер,N,"Уверенность, стабильность.",Норма функция.,Цветочная,,"Потребность в дружеской поддержке, нехватка почвы под ногами.",Ветивер|N
Ветивер,-,"Отказ, непринятие дружеской поддержки.","Нарушение ЖКТ, дисбактериоз, эндокринные нарушения. См. сочетания [1], [2].",Цветочная,"[1] Анис, Фенхель, Герань разбросаны по разным категориям: нарушения ЭС. [2] Анис, Фенхель вместе, в одной зоне: Дисбактериоз.","Потребность в дружеской поддержке, нехватка почвы под ногами.",Ветивер|-
Ветивер,---,"Внутренняя потребность в дружеской поддержке, но есть конфликт, напряжение",Дисбактериоз.,Цветочная,,"Потребность в дружеской поддержке, нехватка почвы под ногами.",Ветивер|---
Ветивер,0,Конфликт (мб скрытый конфликт) с другом.,,Цветочная,,"Потребность в дружеской поддержке, нехватка почвы под ногами.",Ветивер|0
Ветивер,R,Конфликт (мб скрытый конфликт) с другом.,,Цветочная,,,Ветивер|R
Ладан,+++,"Глубокие эмоциональные переживания. См. сочетания [1], [2].","Застойные процессы см. сочетание [3]. Снижение тонуса кожи, атония - см. сочетание [4].",Цветочная,"[1] Важно оценить место расположения: 1, 2 место: эмоциональные переживания, на 3-ем месте: запрос на решение, через первые два аромата. [2] В сочетании с Бензоином, Кипарисом: непрожитая потеря близкого человека. [3] В сочетании с Кедром и Можжеволовыми ягодами. [4] В сочетании с Иланг-илангом/Геранью.","Горе в активном проявлении, истерика.",Ладан|+++
Ладан,+,Эмоциональная перегрузка. Поиск решения. См. сочетание [2].,Склонность к депрессиям,Цветочная,"[2] В сочетании с Бензоином, Кипарисом: непрожитая потеря близкого человека.","Горе в активном проявлении, истерика.",Ладан|+
Ладан,N,Компенсированное состояние.,Норма функция.,Цветочная,,"Горе в активном проявлении, истерика.",Ладан|N
Ладан,-,"Непрожитое, некомпенсированное горе, отрицание","Склонность к новообразованиям (кисты, миомы, полипы).",Цветочная,,"Горе в активном проявлении, истерика.",Ладан|-
Ладан,---,"Глубокие эмоиональные переживания, фаза гнева","Застойные процессы см. сочетание [3]. Снижение тонуса кожи, атония - см. сочетание [4].",Цветочная,[3] В сочетании с Кедром и Можжеволовыми ягодами. [4] В сочетании с Иланг-илангом/Геранью.,,Ладан|---
Ладан,0,"Непрожитые, заблокированные переживания, горе. См. сочетание [2] .",,Цветочная,"[2] В сочетании с Бензоином, Кипарисом: непрожитая потеря близкого человека.","Горе в активном проявлении, истерика.",Ладан|0
Ладан,R,"Застойные процессы, см. сочетание [3]. Снижение тонуса кожи, атония — см. сочетание [4].",,Цветочная,[3] В сочетании с Кедром и Можжеволовыми ягодами. [4] В сочетании с Иланг-илангом/Геранью.,,Ладан|R
Аир,+++,"Перфекционист — фанатик, увлечен происходящим: см. сочетание [1].",Острое бактериальное заражение: см. сочетание [3].,Древесно-травяная,[1] Полынь в (+++/+ или ---): творческий перфекционист. [3] В сочетании с Лимоном: может быть Лямблиоз.,Перфекционист-фанатик.,Аир|+++
